metric,percent,date,line_type
actual_percent,50,2025-10-05,frontier
actual_percent,50,2026-04-15,overall
actual_percent,75,2026-09-03,frontier
actual_percent,75,2027-07-13,overall
actual_percent,90,2027-03-22,frontier
actual_percent,90,2028-04-11,overall
actual_percent,95,2027-05-27,frontier
actual_percent,95,2028-07-11,overall
actual_percent,99,2027-07-20,frontier
actual_percent,99,2028-09-22,overall
log_percent,50,2025-08-21,frontier
log_percent,50,2025-12-18,overall
log_percent,75,2026-01-03,frontier
log_percent,75,2026-06-06,overall
log_percent,90,2026-03-05,frontier
log_percent,90,2026-08-22,overall
log_percent,95,2026-03-23,frontier
log_percent,95,2026-09-13,overall
log_percent,99,2026-04-06,frontier
log_percent,99,2026-10-01,overall
logit,50,2025-09-09,frontier
logit,50,2026-01-31,overall
logit,75,2026-06-06,frontier
logit,75,2027-01-15,overall
logit,90,2027-03-03,frontier
logit,90,2027-12-31,overall
logit,95,2027-09-02,frontier
logit,95,2028-08-25,overall
logit,99,2028-10-12,frontier
logit,99,2030-02-01,overall
odds,50,2025-11-30,frontier
odds,50,2026-08-31,overall
odds,75,2029-05-28,frontier
odds,75,2031-10-12,overall
odds,90,2039-11-17,frontier
odds,90,2047-02-11,overall
odds,95,2057-05-01,frontier
odds,95,2072-09-03,overall
odds,99,2196-12-19,frontier
odds,99,2277-03-02,overall
